wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:03434361n,,zongora,"The zongora is an instrument typical of Maramureș, a region of Romania.",,YES,,,
,bn:00082062n,,zizz,A buzzing or whizzing sound,zizz,YES,,,
,bn:00019279n,,"zither, cither, zithern, cittern, board_zither, cetra_da_tavola, simple_chordophone, the_zither, zithers, zitherist",A musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,"citer, zither, cither, zithern",YES,,,
,bn:00082050n,,"zing, irony_mark",A brief high-pitched buzzing or humming sound,zing,YES,,,
,bn:03651284n,,zindalii,Zindalii is an Algerian musical genre.,zindalii,YES,,,
,bn:14640702n,,zimdancehall,Zimdancehall is a subgenre of reggae/dancehall music from Zimbabwe.,zimdancehall,YES,,,
,bn:17240955n,,zheng,箏族樂器是東亞地區一類半筒状箱型齊特琴類（box zither）撥弦樂器，上有可移動的弦柱（或稱雁柱），移動雁柱即可調校音高，包括有中國的古箏（中國箏）、日本的和箏、朝鮮的伽倻琴、越南的彈箏、琉球的琉球箏、蒙古的雅托噶。,zheng,YES,la definizione non è tradotta,,
,bn:03435353n,,Zeuhl,Zeuhl ,zeuhl,YES,,,
,bn:02806456n,,"zarzuela, zarzuella, la_zarzuela, zarzuelas, zarzuela_musical_theatre","Zarzuela is a Spanish lyric-dramatic genre that alternates between spoken and sung scenes, the latter incorporating operatic and popular songs, as well as dance.",zarzuela,YES,,,
,bn:15251543n,,zapateado,"The zapateado is a group of dance styles of Mexico, characterized by a lively rhythm punctuated by the striking of the dancer's shoes, akin to tap dance.",,YES,,,
,bn:03077620n,,zampogna,"Zampogna is a generic term for a number of Italian double chantered pipes that can be found as far north as the southern part of the Marche, throughout areas in Abruzzo, Latium, Molise, Basilicata, Campania, Calabria, and Sicily.",zampogna,YES,,,
,bn:00685053n,,zabumba,A zabumba is a type of bass drum used in Brazilian music.,zabumba,YES,,,
,bn:03100224n,,"yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo","The yunluo, is a traditional Chinese musical instrument.","yunluo, yuen-lo, yun-lo, yuen_lo, yün-lo, yün_lo, shimianluo, yun_lo",YES,,,
,bn:00753886n,,yuman_music,"Yuman music is the music of Yumans, a group of Native American tribes from what is now Southern California and Baja California.",yuman_muziek,YES,,,
,bn:01967649n,,yuka,"Yuka is a secular Afro-Cuban musical tradition which involves drumming, singing and dancing.",yuka,YES,,,
,bn:14668734n,,"yuju_opera, yu_opera, henan_opera, henan_bangzi, yu_ju, honan_local_opera, honan_opera, yuju","Yu opera, or Yuju opera, sometimes known as Henan bangzi, is one of China's famous national opera forms, alongside Peking opera, Yue opera, Huangmei opera and Pingju.",yu-opera,YES,,,
,bn:00167724n,,"yugoslav_punk_scene, punk_rock_in_yugoslavia, yugoslav_punk, punk_in_yugoslavia, yugoslav_punk_rock, yugoslavia_punk, jugoslovenski_punk, punk_yugoslavia, yu_punk, punk_scene_in_yugoslavia",Punk rock in Yugoslavia was the punk subculture of the former Socialist Federal Republic of Yugoslavia.,Joegoslavische_punkrock,YES,,,
,bn:03542775n,,"youth_crew, youth_crew_revival, youthcrew","Youth crew is a music subculture of hardcore punk attributed to bands who were primarily active during the mid-to-late 1980s, particularly during the New York hardcore scene of the late 1980s.",jeugd_bemanning,YES,,,
,bn:02038670n,,yo-pop,"Yo-pop is a style of Nigerian popular music, popularized in the 1980s by Segun Adewale.",yo-pop,YES,,,
,bn:00081922n,,yodel,A songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto,jodelen,YES,,,
,bn:03044573n,,yiddish_song,"Yiddish song is a general description of several genres of music sung in Yiddish which includes songs of Yiddish theatre, Klezmer songs, and ""Yiddish art song"" after the model of the German Lied and French mélodie.","
jiddisch_lied",YES,,,
,bn:01090327n,,"ye-ye, yé-yé, iê-iê-iê, yeye, yeye_music, ye-yé, ye_ye, yéyé, yé_yé",Yé-yé was a style of pop music that emerged from Southern Europe in the early 1960s.,"iê-iê-iê, yé-yé, ye-ye",YES,,,
,bn:00081893n,,"yelp, yelping, yelp,_inc., yip, yelp_incorporated, yelp_inc., yelp!, yelp_inc, yelp.com, yelp_review",A sharp high-pitched cry (especially by a dog),"yelp, kef, janken, yelping, geblaf",YES,,,
,bn:00071306n,,"yelling, shouting",Uttering a loud inarticulate cry as of pain or excitement,schreeuwen,YES,,,
,bn:00014793n,,"yell, vociferation, outcry, shout, call, cry",A loud utterance; often in protest or opposition,"geschreeuw, geroep, schreeuw, geblèr, kreet, uitroep, schreeuwen, verontwaardiging, getier",YES,,,
,bn:02850246n,,"yayue, chinese_court_music, ya-yüeh, ya_yue",Yayue was originally a form of classical music and dance performed at the royal court and temples in ancient China.,yayue,YES,,,
,bn:03772317n,,yass,"Yass is a Polish music style of avant-garde jazz which originated in the late 1980s, that mixes jazz, improvised music, punk rock, and folk.",yass,YES,,,
,bn:03602542n,,"yangqin, yang_ch'in, yang_qin, yangqing, 扬琴, yang-chin, yangchen, 揚琴, chinese_dulcimer, yang_quin, electric_yangqin, yang-ch'in","The trapezoidal yangqin is a Chinese hammered dulcimer, likely derived from the Iranian santur or the European dulcimer.",yangqin,YES,,,
,bn:01857742n,,yamudi,"Yamudi, is the native guan used in Taiwanese traditional music.",yamudi,YES,,,
,bn:00895123n,,"xylorimba, marimba-xylophone, xylo-marimba",The xylorimba is a pitched percussion instrument corresponding to a xylophone with an extended range.,xylorimba,YES,,,
,bn:01347747n,,xun,"The xun is a globular, vessel flute from China.",xun,YES,,,
,bn:02249473n,,"xote, xotis, xótis",Xote is a Brazilian music genre and dance with a binary or quaternary rhythm.,xote,YES,,,
,bn:00215346n,,xindi,The xindi is a Chinese musical instrument.,xindi,YES,,,
,bn:01195200n,,xhosa_music,"Xhosa music has long been a major part of the music of South Africa, especially in the field of jazz.",xhosa_muziek,YES,,,
,bn:01942151n,,xenochrony,"Xenochrony is a studio-based musical technique developed at an unknown date, but possibly as early as the early 1960s, by Frank Zappa, who used it on several albums.",xenochrony,YES,,,
,bn:00926522n,,"wot, vot",The Wot is a circular panpipe used in the traditional music of Laos and the Isan region of northeastern Thailand.,"wot, vot",YES,,,
,bn:01074056n,,"worldbeat, world_beat",Worldbeat is a music genre that blends pop music or rock music with world music or traditional music.,"worldbeat, world_beat",YES,,,
,bn:02670948n,,"world_music, world_fusion, worldmusic, world-music, world_fusion_music, ethnic_rock, foreign_music, world_music_terminology, world_music_musicians, world, world_ethnic, world_musician, ethnic, list_of_world_music_festivals, musiques_du_monde, world_music_festival, global_music, world_music_festivals, contemporary_folk_music, ethnic_music","World music is a musical category encompassing many different styles of music from around the world, including traditional music, quasi-traditional music, and music where more than one cultural tradition intermingle.","wereldmuziek, wereldmuziekgroep, niet-westerse_muziek, wereld_fusion_muziek, world_fusion",YES,,,
,bn:08919498n,,"world_fusion_music, world_fusion",World music genre,,YES,,,
,bn:00711086n,,wordless_functional_analysis,Wordless functional analysis is a method of musical analysis developed in the 1950s by the Austrian-born British musician and writer Hans Keller.,woordeloze_functieanalysis,YES,,,
,bn:00081530n,,"woofer, woofers",A loudspeaker that reproduces lower audio frequency sounds,woofer,YES,,,
,bn:03043443n,,"woodwind_section, woodwind_orchestra","The woodwind section, which consists of woodwind instruments, is one of the main sections of an orchestra or concert band.","houtblazers_orkest, houtblazers_sectie",YES,,,
,bn:00081527n,,woodwind_family,(music) the family of woodwind instruments,houtblazers_familie,YES,,,
,bn:00081493n,,"woodwind, woodwind_instrument, wood, longest_note_on_a_woodwind/brass_instrument, woodwinds, woodwind_instruments, instrumentos_de_madera, toodlehorn",Any wind instrument other than the brass instruments,"houtblazer, houtblazers, houten_blaasinstrument, houtblazers_instrument, houten_blaasinstrumenten, hout, het_hout",YES,,,
,bn:01285441n,,"wonky, purple_sound, street_bass, wonky_music, aquacrunk, bristol_wonky","Wonky is a subgenre of electronic music known primarily for its off-kilter or “unstable” beats, as well as its eclectic blend of genres including hip hop, electro-funk, chiptune, jazz fusion, glitch, and crunk.",wonky,YES,,,
,bn:02097833n,,"witch_house, grave_wave, witch_hop, witch_hip_hop, screwgaze, rape_gaze, drag, crunk_shoegaze","Witch house is a dark, occult-themed electronic music microgenre and visual aesthetic that emerged in the late 2000s and early 2010s.","witch_house, with_house, heks_huis",YES,,,
,bn:03651367n,,"wind_quintet, woodwind_quintet","A wind quintet, also known as a woodwind quintet, is a group of five wind players.",blaaskwintet,YES,,,
,bn:00081263n,,"wind_instrument, bell, wind, wind_instruments, blas-, aerophonic, bell_of_a_wind_instrument",A musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath,"blaasinstrument, blaasinstrumenten, koelte, wind, bel",YES,,,
,bn:03147748n,,"wind_controller, electronic_wind_instrument, wind_synthesizer, electronic_trumpet, evi_wind_controller, ewi, breath_controller, electronic_wind_instruments, evi, electronic_valve_instrument, wind_synth","A wind controller, sometimes referred to as a wind synthesizer, is an electronic wind instrument and usually in the form of a MIDI controller associated with one or more music synthesizers.",wind_controller,YES,,,
,bn:00081264n,,"wind_chime, wind_bell, windchime, wind_chimes, wind-bell, wind-chimes, windchimes, 🎐",A decorative arrangement of pieces of metal or glass or pottery that hang together loosely so the wind can cause them to tinkle,"wind_gong, wind_chimes, wind_bell",YES,,🎐,
,bn:02526358n,,"wild_track, wild_lines, wild_sound, wild_tracks, wild_line, wildline","Wild track, also known as wild sound and wild lines, is an audio recording intended to be synchronized with film or video but recorded separately.","wild_track, wild_lines, wild_sound, wild_tracks, wild_line, wildline",YES,,,
,bn:00081145n,,whoop,A loud hooting cry of exultation or excitement,schreeuwen,YES,,,
,bn:00256107n,,"whole-tone_scale, whole_tone_scale, 6-35, 6_equal_temperament, 6-tet, ""almost_whole-tone""_hexachord, wholetone_scale","In music, a whole-tone scale is a scale in which each note is separated from its neighbors by the interval of a whole tone.","heletoonstoonladder, hele-toonstoonladder, debussy-toonladder",YES,,,
,bn:00074194n,,"whole_tone, whole_step, major_second, tone, step, whole_tones, ganzton, lesser_tone, pythagorean_major_second, large_whole_tone, major_tone, just_major_tone, greater_tone, large_just_whole_tone, just_major_second, sesquioctavan, επογδοων, large_limma, whole-tone, epogdoon, minor_tone, just_minor_tone",A musical interval of two semitones,"hele_toon, grote_secunde, hele_stap, stap, toon",YES,,,
,bn:00070417n,,"whole_note, semibreve, semibreves, whole_note_rest, wholenote, full_note, ganzschluss, 𝅝, whole-note, semi-breve, ganze-note, 𝄻, whole_notes",A musical note having the longest time value (equal to four beats in common time),"hele_noot, whole_note, semibreve",YES,,,
,bn:00081132n,,whiz,A buzzing or hissing sound as of something traveling rapidly through the air,"gefluit, gesis",YES,,,
,bn:02493481n,,"white_power_music, rechtsrock, white_power_rock, fascist_experimental_music, hate_music, racist_folk, racist_country_music, segregation_music, segregationist_music, white_pride_music",White power music is music that promotes white nationalism.,white_power_muziek,YES,,,
,bn:00583436n,,"white_label, white_labels, test_pressing, whitelabel, whitelabels, white-label, white-labels",White label records are vinyl records with plain white labels attached.,"white_label, white_labels, witte_etiketten",YES,,,
,bn:00081041n,,"whistling, whistle",The sound made by something moving rapidly or by steam coming out of a small aperture,gefluit,YES,,,
,bn:00081049n,,whistling,The act of whistling a tune,gefluit,YES,,,
,bn:01913047n,,"whistle_register, whistle_tone, whistle_voice, flute_register, whistle_note, flageolet_register, super-head_voice, whistle_tones, super-head_register","The whistle register is the highest register of the human voice, lying above the modal register and falsetto register.","fluitregister, fluitstem",YES,,,
,bn:00081043n,,whistle,A small wind instrument that produces a whistling sound by blowing into it,tinwhistle,YES,,,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,"zoemend, snorren",YES,,,
,bn:00081005n,,"whimper, whine",A complaint uttered in a plaintive whining way,"gezeik, gemier, geëmmer, gezemel, gejengel, gezanik, gezeur, gekanker, gemekker, gemaal, gezever, geouwehoer, geteem, zeuren, janken",YES,,,
,bn:00057218n,,"whicker, whinny, nicker, neigh",The characteristic sounds made by a horse,"hinniken, gehinnik, hinnik, giechelen",YES,,,
,bn:03118097n,,"whamola, wambola",The Whamola is a bass instrument used in funk-jazz styles of music.,"whamola, wambola",YES,,,
,bn:00080947n,,whack,The sound made by a sharp swift blow,klop,YES,,,
,bn:03452975n,,"western_swing, country/western_swing, country_swing, texas_swing",Western swing music is a subgenre of American country music that originated in the late 1920s in the West and South among the region's Western string bands.,western_swing,YES,,,
,bn:00330211n,,"western_music, cowboy_music, music_of_the_american_and_canadian_wests, western_song, cowboy_songs, list_of_famous_cowboy_songs",Western music is a form of country music composed by and about the people who settled and worked throughout the Western United States and Western Canada.,"cowboy_muziek, westerse_muziek",YES,,,
,bn:01597297n,,western_mass_hardcore,"Western Mass. Hardcore refers to the hardcore punk music scene in and around Amherst, and Springfield, Massachusetts",western_mass_hardcore,YES,,,
,bn:00550723n,,"western_concert_flute, boehm_flute, c_flute, transverse_flute, concert_flute, orchestral_flute, flute, german_flute, kingma_system_flute, kingma_flute, giorgi_flute, baroque_flute, kingma_system, flauto_traverso, western_flute, traversiere, modern_flute, querflöte, traverso","The Western concert flute (also called transverse flute, C flute or Boehm flute) is a side-blown woodwind instrument made of metal or wood.","dwarsfluit, concert_fluit, flauto_traverso, westerse_concert_fluit, barok_fluit, traverso",YES,,,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,"theaterland, west_end_theater",YES,,,
,bn:01716682n,,west_coast_jazz,West Coast jazz refers to styles of jazz that developed in Los Angeles and San Francisco during the 1950s.,"west_coast_jazz, westcoast-jazz, west_coast",YES,,,
,bn:00952845n,,"west_coast_hip_hop, west_coast_hip-hop, west_coast_rap, mobb_music, bay_area_rappers, california_rap, westcoast_hip_hop, westcoast_rap, mobb, west_coast_rap-history, california_hip_hop, mixmaster_spade, west_coast_rapper, bay_area_rapper",West Coast hip hop is a regional genre of hip hop music that encompasses any artists or music that originated in the West Coast region of the United States.,"west_coast-hiphop, west_coast_hiphop, west_coast_rap, west_coast_hip_hop, west_coast, westcoast_rap, westcoasthiphop, west_coast_hip-hop",YES,,,
,bn:00962690n,,"west_coast_blues, western_blues","The West Coast blues is a type of blues influenced by jazz and jump blues, with strong piano-dominated sounds and jazzy guitar solos, which originated from Texas blues players who relocated to California in the 1940s.",west_coast_blues,YES,,,
,bn:03345993n,,"waulking_song, oran_luaidh, òrain_luaidh","Waulking songs are Scottish folk songs, traditionally sung in the Gaelic language by women while fulling cloth.","waulking_song, waulking_lied",YES,,,
,bn:01235758n,,"waterphone, ocean_harp, aquaphone, oceanharp, water_phone",A waterphone is a type of inharmonic acoustic tuned idiophone consisting of a stainless steel resonator bowl or pan with a cylindrical neck and bronze rods of different lengths and diameters around the rim of the bowl.,waterphone,YES,,,
,bn:00080599n,,"water_hammer, fluid_hammer, hydraulic_shock, cavitation_hammer, steam_hammer",The banging sound of steam in pipes,waterslag,YES,,,
,bn:03800970n,,"water_drum, cataquí, midegwakikoon, mitigwakik, mide_drum, water-drum, waterdrum",Water drums are a category of membranophone characterized by the filling of the drum chamber with some amount of water to create a unique resonant sound.,water_trommel,YES,,,
,bn:03544145n,,"warabe_uta, warabe-uta","Warabe uta are traditional Japanese songs, similar to nursery rhymes.",warabe_uta,YES,,,
,bn:00735193n,,"war_song, military_song, military_songs, war_songs, world_war_i_song","A war song is a musical composition that relates to war, or a society's attitudes towards war.",oorlog_lied,YES,,,
,bn:00080427n,,waltzer,A dancer who waltzes,walser,YES,,,
,bn:00079505n,,"waltz, valse, hesitation_waltz, waltz_dance, waltzes, valzer, waltzing, english_waltz, valčík",A ballroom dance in triple time with a strong accent on the first beat,"wals, walsen, valse",YES,,,
,bn:01410763n,,"walking_piano, big_piano, the_walking_piano","The Walking Piano, also called the Big Piano by its creator, Remo Saraceni, is an oversized synthesizer.","walking_piano, big_piano, the_walking_piano",YES,,,
,bn:00067511n,,"wake-up_signal, reveille",(military) signal to wake up,wake-up-signaal,YES,,,
,bn:02038690n,,waka_music,Waka music is a popular Islamic-oriented Yoruba musical genre.,waka_muziek,YES,,,
,bn:02487308n,,"wah-wah_pedal, wah_wah_pedal, wa-wa_pedal, wah_wah_guitar, wah_pedal, wa_pedal, wawa_pedal","A wah-wah pedal is a type of electric guitar effects pedal that alters the tone and frequencies of the guitar signal to create a distinctive sound, mimicking the human voice saying the onomatopoeic name ""wah-wah"".","wah_pedaal, wah-wah_pedaal, wah-pedaal",YES,,,
,bn:03322477n,,wah-wah,"Wah-wah is an imitative word for the sound of altering the resonance of musical notes to extend expressiveness, sounding much like a human voice saying the syllable wah.",wah-wah,YES,,,
,bn:00522339n,,wagnerian_rock,Wagnerian rock is the merger of 20th-century rock and roll and 19th-century opera reminiscent of Richard Wagner or Phil Spector's Wall of Sound.,wagneriaanse_rock,YES,,,
,bn:00080326n,,wagnerian,A follower of the theories or an admirer of the music of Richard Wagner,"wagneriaanse, wagneriaans",YES,,,
,bn:01627216n,,"wagner_tuba, bayreuth_tubas, wagner_horns, wagner_tuben",The Wagner tuba is an infrequently-used brass instrument that combines tonal elements of both the French horn and the trombone.,"wagnertuba, bayreuth-tuba, waldhorntuba, wagner_tuba",YES,,,
,bn:00080276n,,vroom,The roaring sound made by a motor that is running at high speed,vroem,YES,,,
,bn:00080271n,,"vox_humana, voce_humana, voix_humaine, voz_humana, voce_umana",An organ reed stop producing tones imitative of the human voice,vox_humana,YES,,,
,bn:00448640n,,"vọng_cổ, vong_co, vong_cổ",Vọng cổ is a Vietnamese song and musical structure used primarily in the cải lương theater music and nhạc tài tử chamber music of southern Vietnam.,"vọng_cổ, vong_co",YES,,,
,bn:00080201n,,"voix_celeste, vox_angelica, voix_céleste, vox_celeste, unda_maris",An organ stop producing a gentle tremolo effect,"voix_céleste, voix_celeste, vox_angelica",YES,,,
,bn:00080197n,,voicer,Someone who regulates the tone of organ pipes,,YES,,,
,bn:00553091n,,"voice_teacher, singing_instructor, voice_teachers, singing_teacher, song_pedagogue",A voice teacher or singing teacher is a musical instructor who assists adults and children in the development of their abilities in singing.,stemtrainer,YES,,,
,bn:04729130n,,"voice, vocals, singing_voice",human voice as musical instrument,stem,YES,,,
,bn:00080186n,,voice,A sound suggestive of a vocal utterance,stem,YES,,,
,bn:00240381n,,"vogue, voguing, vogueing, vouging","Vogue, or voguing, is a highly stylized, modern house dance originating in the late 1980s that evolved out of the Harlem ballroom scene of the 1960s.","vogue, mode, voguing",YES,,,
,bn:02622771n,,"vocoder, vocode, ralcwi, voice_coder, vocoding, channel_vocoder, vocorder, vocoded, vocoders, voice_encoder","A vocoder is a category of voice codec that analyzes and synthesizes the human voice signal for audio data compression, multiplexing, voice encryption or voice transformation.","vocoder, vocoders",YES,,,
,bn:03438542n,,vocality,"Vocality or special vocal effects are vocal or vocally inspired devices including guttural effects, interpolated vocality, falsetto, blue notes, Afro-melismas, lyric improvisation, and vocal rhythmization.","speciale_vocale_effecten, vocality",YES,,,
,bn:02405676n,,vocalese,Vocalese is a style or musical genre of jazz singing in which words are added to an instrumental soloist's improvisation.,vocalese,YES,,,
,bn:00324262n,,"vocal_trance, vocal_trance_music",Vocal trance is a subgenre of trance music that focuses on vocals and melodies.,"vocal_trance, vocale_trance",YES,,,
,bn:03340016n,,"vocal_range, five-octave_vocal_range, vocal_ranges, octave_range, voice_ranges, voice_range",Vocal range is the range of pitches that a human voice can phonate.,"zangstem, vijf-octaaf_stembereik, stembereik, vijf_octaven_stembereik",YES,,,
,bn:00319150n,,"vocal_percussion, mouth_drumming, mouth_percussion","Vocal percussion is the art of creating sounds with one's mouth that approximate, imitate, or otherwise serve the same purpose as a percussion instrument, whether in a group of singers, an instrumental ensemble, or solo.",vocale_percussie,YES,,,
,bn:00709554n,,"vocal_learning, go:0042297","Vocal learning is the ability to modify acoustic and syntactic sounds, acquire new sounds via imitation, and produce vocalizations.",vocale_leren,YES,,,
,bn:01210316n,,"vocal_harmony, vocal_harmonies, harmony_vocals",Vocal harmony is a style of vocal music in which a consonant note or notes are simultaneously sung as a main melody in a predominantly homophonic texture.,"vocale_harmonieën, vocale_harmonie, samenzang",YES,,,
,bn:17268348n,,"vocal_extended_technique, extended_vocal_technique, extended_vocal_techniques, clean_vocals",Vocalists are capable of producing a variety of extended technique sounds.,uitgebreide_vocale_techniek,YES,,,
,bn:03727019n,,"vocal_coach, repetiteur, singing_coach, vocal_coaches, vocal_coaching, voice_coach","A vocal coach, also known as a voice coach, is a music teacher, usually a piano accompanist, who helps singers prepare for a performance, often also helping them to improve their singing technique and take care of and develop their voice, but is not the same as a singing teacher.","vocal_coach, zangcoach",YES,,,
,bn:01862178n,,vitar_violins,The Vi-tar was a musical instrument produced by the Exinde/Xinde Corporation in the early 1970s.,vitar_viool,YES,,,
,bn:03119988n,,"visual_music, colour_music, color_music","Visual music, sometimes called colour music, refers to the use of musical structures in visual imagery, which can also include silent films or silent Lumia work.",visuele_muziek,YES,,,
,bn:03186144n,,"visual_kei, angura_kei, japanese_glam_rock, osharee_kei, visual-kei, v-kei","Visual kei is a movement among Japanese musicians, that is characterized by the use of varying levels of make-up, elaborate hair styles and flamboyant costumes, often, but not always, coupled with androgynous aesthetics, similar to Western glam rock.","visual_kei, visual-kei",YES,,,
,bn:03653114n,,"viruttam, viruttams",A viruttam or virutham is a Hindu devotional verse sung in Carnatic music concerts.,viruttam,YES,,,
,bn:02128382n,,virus_riddim,Virus riddim is a riddim.,virus_riddim,YES,,,
,bn:00080081n,,virtuosity,Technical skill or fluency or style exhibited by a virtuoso,virtuositeit,YES,,,
,bn:00066770n,,"virginia_reel, reel",An American country dance which starts with the couples facing each other in two lines,"filmrol, virginia_haspel, virginia_reel",YES,,,
,bn:00924510n,,"virginalist, english_virginalist_school, virginalists","Virginalist denotes a composer of the so-called virginalist school, and usually refers to the English keyboard composers of the late Tudor and early Jacobean periods.","virginalisten, virginalist",YES,,,
,bn:00425001n,,"virelai, chanson_baladee, virelais, rondeau-virelai, virelai_ancien, virelay, chanson_baladée, virelai_nouveau",A virelai is a form of medieval French verse used often in poetry and music.,virelai,YES,,,
,bn:01564673n,,"violone, violonist","The term violone can refer to several distinct large, bowed musical instruments which belong to either the viol or violin family.",violone,YES,,,
,bn:01936761n,,"violin_sonata, violin_sonatas","A violin sonata is a musical composition for violin, often accompanied by a keyboard instrument and in earlier periods with a bass instrument doubling the keyboard bass line.",vioolsonate,YES,,,
,bn:00080040n,,violin_maker,Someone who makes violins,vioolbouwer,YES,,,
,bn:00080039n,,violin_lesson,A less in playing the violin,vioolles,YES,,,
,bn:00080038n,,"violin_family, arm_viol",(music) the family of bowed stringed instruments,"vioolfamilie, viool_familie",YES,,,
,bn:02428395n,,"violin_concerto, concerto_for_violin_and_orchestra, violin_concertos, tchaikovsky_&_beethoven_violin_concertos",A violin concerto is a concerto for solo violin and instrumental ensemble.,"vioolconcert, vioolconcerten",YES,,,
,bn:14576244n,,"violetta, little_marine_viol, violetta_marina",The violetta was a 16th-century musical instrument.,vedel,YES,,,
,bn:03351916n,,violectra,"Violectra is the name of a range of electric violins, violas and cellos designed, developed and hand made by David Bruce Johnson, a Canadian violin maker settled in Birmingham, England.",violectra,YES,,,
,bn:00264067n,,viola_sonata,"The viola sonata is a sonata for viola, sometimes with other instruments, usually piano.",altviool_sonate,YES,,,
,bn:00920828n,,"viola_organista, sławomir_zubrzycki",The viola organista is a musical instrument designed by Leonardo da Vinci.,viola_organista,YES,,,
,bn:00605247n,,viola_concerto,A viola concerto is a concerto contrasting a viola with another body of musical instruments such as an orchestra or chamber music ensemble.,altvioolconcert,YES,,,
