wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?,note,removed EN,Removed IT,Multiword Expression,annotator traduction
,bn:00007130n,n,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,"iperacusia, hyperacusia, uditivo_iperestesia",YES,,,,,
,bn:00007132n,n,auditory_ossicle,Ossicles of the middle ear that transmit acoustic vibrations from the eardrum to the inner ear,"ossicini, ossicino_uditivo",CHECK,,,,,
,bn:00007377n,n,"hooter, automobile_horn, horn, car_horn, motor_horn",A device on an automobile for making a warning noise,"clacson, tromba, corno_veicolo, automobile_corno, motore_corno, corno_bicicletta",YES,,,,,
,bn:00007596n,n,"bel, b",A logarithmic unit of sound intensity equal to 10 decibels,bel,CHECK,,,,,
,bn:00007601n,n,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,"clarinetto_in_si_bemolle, clarinetto_soprano_in_si_bemolle, bastoncino_di_liquirizia",YES,bastoncino di liquirizia è una maniera scherzosa in cui viene chiamato il clarinetto in si bemolle,,"b-flat_clarinetto, liquirizia_bastone",,
,bn:00007613n,n,baa,The cry made by sheep,"belato, bè, bèe",YES,ho aggiunto bè e bèe ,,beè,,
,bn:00007635n,n,babel,A confusion of voices and other sounds,"babele, babilonia",YES,,,,,
,bn:00007665n,n,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,"pianoforte_a_mezza_coda, mezza_coda, salone_grande, baby_grand_piano, salone_di_pianoforte_a_coda",YES,,,,,
,bn:00007775n,n,backfire,A loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine,scoppio ,YES,,,,,
,bn:00007788n,n,"background_level, noise_level",The amplitude level of the undesired background noise,"livello_di_rumore, livello_di_rumore_di_fondo, livello_di_rumore_di_sottofondo ",CHECK,ho aggiunto 'livello_di_rumore_di_fondo' e 'livello_di_rumore_di_sottofondo',,livello_di_fondo,,
,bn:00007789n,n,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,"rumore_di_fondo, rumore, fruscio, rumore_ambientale",YES,,,,,
,bn:00008123n,n,ball,The people assembled at a lavish formal dance,ballo,YES,"non sono sicuro di questa traduzione in italiano. Credo che vada bene, perché quando si dice per es 'il ballo di capodanno' si fa riferimento all'evento ballo, e quindi anche alle persone, e non a un tipo di ballo specifico",,,,
,bn:00008128n,n,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,"ballo, veglione, palla",YES,,,,,
,bn:00008164n,n,"ballerina, danseuse",A female ballet dancer,"ballerina, danseuse",YES,,,,,
,bn:00008165n,n,"ballet, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, ballets, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances, show_dance, 2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, stage_dance, ballet_competitions, ballet_dance, showdance, un/locode:inblt, classical_dance, ballet_schools, ballet_characters, balletomanes, ballet_dancing, dance_performance, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, balletto, 1938_ballet_premieres, balletti",A theatrical representation of a story that is performed to music by trained dancers,"balletto, balletti, balletto_classico, teatro_danza, ballo, danza_di_scena, balletto_imperiale_russo, passo_d'addio, danza_concerto, performance_di_danza, danza_classica, concerto_danza, showdance",YES,,,,,
,bn:00008167n,n,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,"compagnia_di_balletto, balletto, corpo_di_ballo, compagnie_di_balletto",YES,,,,,
,bn:00008168n,n,"ballet_dancer, ballerina, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas",A trained dancer who is a member of a ballet company,"ballerina, ballerino, primo_ballerino, prima_ballerina, ballerino_classico, ballerine, ballerini_balletto",YES,,,,,
,bn:00008169n,n,"ballet_master, premier_maître_de_ballet, premier_maitre_de_ballet, balletmaster, maitre_de_ballet, maître_de_ballet, premier_maitre_de_ballet_en_chef, maître_de_ballet_en_chef, maitre_de_ballet_en_chef, balletmasters, premier_maître_de_ballet_en_chef, ballet_mistresses, paul_talgioni, maría_de_ávila, ballet_masters, paul_taglioni, maria_de_avila",A man who directs and teaches and rehearses dancers for a ballet company,"maître_de_ballet, maestro_di_ballo, maestro_di_balletto, maestro_di_danza, balletmaster",YES,,,,,
,bn:00008170n,n,ballet_mistress,A woman who directs and teaches and rehearses dancers for a ballet company,"maitresse_de_ballet, maestra_ballo, maestra_di_danza",YES,tutti i termini in lemmata IT li ho aggiunti io ,,amante_balletto,,
,bn:00008171n,n,ballet_position,Classical position of the body and especially the feet in ballet,posizione_di_balletto,YES,,,,,
,bn:00008172n,n,"tutu, ballet_tutu, ballet_skirt, ballerina_tootoo, ballet_dress",Very short skirt worn by ballerinas,"tutù, gonna_balletto, balletto_tutu",CHECK,,,,,
,bn:00008173n,n,balletomane,A ballet enthusiast,balletomane,YES,,,,,
,bn:00008321n,n,"bandstand, stand, outdoor_stage, band_stand, bandshell, music_kiosk, bandstands, band_rotunda",A platform where a (brass) band can play in the open air,"cassa_armonica, chiosco_della_musica, stand, cassarmonica, palco_dell'orchestra, palco_all'aperto",YES,,,,,
,bn:00008324n,n,bandwagon,A large ornate wagon for carrying a musical band,carro_della_banda,YES,,,,,
,bn:00008361n,n,"banjo, tenor_banjo, 4-string_banjo, benjo, 5-string_banjo, open_back_banjo, banjo_string, four-string_banjo, 🪕, banjer, electric_banjo, classic_banjo, five-string_banjo, banjos, fingerpicking_banjo, stealth_banjo",A stringed instrument of the guitar family that has long neck and circular body,"banjo, bangio, benjo, banjo_tenore, banjo_a_cinque_corde",YES,non ho trovato casi in cui in italiano venisse usato '5-string banjo',,5-string_banjo,,
,bn:00008597n,n,"bark, dog_barking, woof, yelp, wuff, dog_bark",The sound made by a dog,"abbaio, abbaiare, bau_bau, bau",YES,ho aggiunto bau_bau e bau,,corteccia,,
,bn:00008615n,n,"barn_dance, barndance",A dance party featuring country dancing,danza_campestre ,YES,,,fienile_danza,,
,bn:00008917n,n,"bass, bass_instrument",The member with the lowest range of a family of musical instruments,basso,YES,,,,,
,bn:00008924n,n,"tuba, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,"tuba, susafono, basso_tuba, sousafono, bassotuba, flicorno_contrabbasso, bassi_tuba, flicorno_basso, sousaphone, bombardone, serpente, bass_horn",YES,,,,,
,bn:00008941n,n,"basso_profundo, basso_profondo, oktavist, low_bass, russian_bass, deep_bass, octavist",A very deep bass voice,basso_profondo,YES,,,,,
,bn:00008942n,n,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,"fagotto, fagotti, fagottista",YES,,,,,
,bn:00009208n,n,"shouter, bellower, yeller, bawler, roarer, screamer, screecher",Someone who communicates vocally in a very loud voice,"urlatore, urlone, strillone",YES,dei lemmi che ho tolto da lemmata IT non ho trovato esempi utilizzati in italiano,,"bellower, roarer, screecher",,
,bn:00009210n,n,"bawling, wailing",Loud cries made while weeping,"lamento, lamenti, bawling",YES,,,,,
,bn:00009213n,n,bay,The sound of a hound on the scent,"latrato, abbaio",YES,,,,,
,bn:00009397n,n,"beat, beat_frequency, battimenti, interference_beating, acoustical_beat, beating, idosing, beating_frequency, beat_wave, binaural_beat, batimientos, acoustic_beat, interference_beat, binaural_frequency, binaural_tones, binaural_frequencies, beat_note",A single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations,"battimento, battimenti, frequenza_battimento, frequenza_di_battimento",YES,,,,,
,bn:00009399n,n,beat,The sound of stroke or blow,colpo,YES,,,,,
,bn:00009412n,n,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,"ancia, strumento_a_fiato_munito_di_ancia, canna, reed_strumento, battito-reed_strumento, strumento_ad_ancia",YES,,,,,
,bn:00009418n,n,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,"battiti_al_minuto, m.m., metronomo_marcatura, bpm",YES,,,,,
,bn:00009587n,n,"beep, bleep, breep, bleep_sound, beep_sound, *beep*",A short high tone produced as a signal or warning,"bip, segnale_acustico",YES,,,,,
,bn:00009650n,n,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,beguine,YES,,,,,
,bn:00009727n,n,bell,A hollow device made of metal that makes a ringing sound when struck,"campana, soneria, campanello",YES,,,,,
,bn:00009728n,n,"doorbell, buzzer, bell, door_bell, doorbells, door_chime, intelligent_door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,campanello,YES,,,,,
,bn:00009729n,n,"bell, toll",The sound of a bell being struck,rintocco,YES,,,,,
,bn:00009733n,n,"bell, chime, gong",A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,"suoneria, soneria, rintoccare",YES,,,,,
,bn:00009757n,n,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),campanaro,CHECK,,,,,
,bn:00009760n,n,bell_ringing,The sound of someone playing a set of bells,suono_delle_campane,YES,,,,,
,bn:00009762n,n,"bell_ringing, carillon, carillon_playing, campanology",Playing a set of bells that are (usually) hung in a tower,"campanologia, carillon, campanologist, carillon_giocare, suono_delle_campane",YES,,,,,
,bn:00009781n,n,"charivari, shivaree, chivaree, callithump, belling, callathump, shivery, skimmington_ride, chiarivari, riding_the_stang, chiverie, skimmington, skimmity_ride",A noisy mock serenade (made by banging pans and kettles) to a newly married couple,"charivari, chivaree, campanatura, shivaree",YES,,,,,
,bn:00009787n,n,"roar, yowl, bellow, roaring, bellowing, holler, hollo, holla, hollering, holloa, rawr",A very loud utterance (like the sound of an animal),"deflagrazione, boato, ruggito, bramito, ruggire, urlare, muggito, richiamo, ululato",YES,,,"holla, holloa",,
,bn:00009801n,n,"belly_dance, belly_dancing, danse_du_ventre, belly_dancers, raks_sharki, hootchy-kootchy, belly_dance_in_the_west, hootchy_kootchy_dance, raks_sharqi, raqs_shaki, raqs_sharki, bellydancer, belly-dance, raqs_al_sharqi, muscle_dance, belly-dancer, muscle_dancer, abdominal_dance, egyptian_belly_dance, hootchie_kootchie_dance, raks_al_sharqi, belly-dancing, bellydancing, muscle_dancing, houchee_kouchee, bellydance_in_the_west, bellydance, arabic_dance",A Middle Eastern dance in which the dancer makes sensuous movements of the hips and abdomen,"danza_del_ventre, danza_orientale, danzatrice_del_ventre, danse_du_ventre, danzatrici_del_ventre",YES,,,,,
,bn:00009802n,n,"belly_dancer, exotic_dancer, exotic_belly_dancer",A woman who performs a solo belly dance,"danzatrice_del_ventre, del_ventre_danzatrice_esotica, belly_dancer",YES,,,,,
,bn:00010608n,n,"hiss, raspberry, boo, bird, razz, hoot, bronx_cheer, snort, razzing",A cry or noise made to express displeasure or contempt,"pernacchia, fischio, urlo, sbuffata",YES,ho aggiunto grido_di_disapprovazione in multiword expressions e sbuffata e urlo in lemmata IT ,,"razz, bronx_cheer, razzing",grido_di_disapprovazione,
,bn:00010649n,n,"call, song, birdsong, birdcall, bird_song",The characteristic sound produced by a bird,"canto, canto_degli_uccelli, richiamo, chiamata_uccello, vocalizzazione_uccello, richiami_di_uccelli",YES,,,,,
,bn:00010650n,n,birdcall,A device for imitating a birdcall,,CHECK,traduzione in multiword expressions,,,richiamo_per_uccelli,
,bn:00010662n,n,"whirr, whirring, birr, whir",Sound of something in rapid motion,"sibilo, frullio, brusio, frullo, ronzio, ronzare",YES,,,,,
,bn:00011186n,n,bleat,The sound of sheep or goats (or any sound resembling this),"belato, belare",YES,,,,,
,bn:00011535n,n,blue_murder,An extravagantly loud outcry,,YES,ho inserito i termini in multiword expressions ,,blue_murder,"urlo_a_squarciagola, grido_a_squarciagola, a_squarciagola",
,bn:00011620n,n,bluster,Noisy confusion and turbulence,baccano,YES,,,,,
,bn:00011856n,n,bolero,A Spanish dance in triple time accompanied by guitar and castanets,bolero,YES,,,,,
,bn:00011930n,n,"helicon, bombardon, hélicon",A tuba that coils over the shoulder of the musician,"helicon, elicone, bombardone, flicorno_basso, pelittone, hélicon, genis",YES,,,,,
,bn:00011943n,n,"buzz, bombilation, bombination",Sound of rapid vibration,"ronzio, brusio",YES,,,"buzz_marketing, bombilation, bombination",,
,bn:00012024n,n,bong,A dull resonant sound as of a bell,bong,YES,,,,,
,bn:00012025n,n,"bongo, bongo_drum",A small drum; played with the hands,"bongo, bongos, bongo_tamburo",YES,,,,,
,bn:00012124n,n,"booking_agent, booker",Someone who engages a person or company for performances,"agente_di_prenotazione, booker",YES,,,,,
,bn:00012146n,n,"thunder, roaring, roar, boom, thunderclap, clap_of_thunder, peal_of_thunder",A deep prolonged loud noise,"tuono, boato, fragore, rintronamento, muggito, rombo, ruggito, rimbombo, frastuono, rombo_di_tuono",CHECK,,,,,
,bn:00012148n,n,"boom, microphone_boom",A pole carrying an overhead microphone projected over a film or tv set,"giraffa, microfono",YES,,,,,
,bn:00012466n,n,"bow, bow_technique, french_bow, abstrich, aufstrich, bowing_technique, german_bow, talon",A slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments,"archetto, arco, archetteria, archettaio",YES,,,,,
,bn:00012472n,n,bow,A stroke with a curved piece of wood with taut horsehair strands that is used in playing stringed instruments,"arco, archetto",YES,,,,colpo_d'_archetto,
,bn:00012474n,n,bow-wow,The bark of a dog,"bau_bau, bau",YES,,,,,
,bn:00012483n,n,"string, bowed_stringed_instrument, bowed_string_instrument, bowed_instrument, bowed, bowed_strings, bowed_instruments",Stringed instruments that are played with a bow,"archi, strumenti_ad_arco, strumenti_musicali_ad_arco, strumento_ad_arco, strumenti_a_corda, arco_strumento_a_corda",YES,,,famiglia_delle_viole,,
,bn:00012492n,n,bowing,Managing the bow in playing a stringed instrument,"archeggio, arcata",YES,,,,,
,bn:00012790n,n,"brass_instrument, brass, trigger, throw, labrosones, brass_instruments, trumpets, list_of_20th_century_brass_instrumentalists, brass_instrument_construction, labrophones, brass_wind_instrument, labrophone, brass_musical_instrument, labrosone, 20th_century_brass_instrumentalists, lip-reed_instrument, ottoni",A wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece,"ottoni, aerofoni_a_bocchino, ottone, strumento_ad_ancia, labiofono, labiofoni, ottone_strumento",YES,,,,,
,bn:00012796n,n,brass_family,(music) the family of brass instruments,ottone_famiglia,YES,,,,,
,bn:00012841n,n,bravo,A cry of approval as from an audience at the end of great performance,bravo,YES,,,,,
,bn:00012904n,n,"break, voice_crack",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),cambio_di_voce,CHECK,cambio di voce non è un termine che sembra contenere il concetto di 'abrupt change' ma non riesco a trovare altro in italiano,,,,
,bn:00012913n,n,"break_dance, breakdancing, break_dancing, b-girling, breakdance, break-dancers, b-boying, break_dancers, breakin', breaking",A form of solo dancing that involves rapid acrobatic moves in which different parts of the body touch the ground; normally performed to the rhythm of rap music,"break_dance, breakdance, break-dance, b-boying, breakdancing, breaking, b-boys, break_dancer, breakdancer, b-boy",YES,,,,,
,bn:00013082n,n,"bridge, electric_guitar_bridge",A wooden support that holds the strings up,"ponte, ponticello",YES,,,,,
,bn:00013386n,n,brouhaha,A confused disturbance far greater than its cause merits,baraonda,YES,,,,,
,bn:00013544n,n,bubble_dance,A solo dance similar to a fan dance except large balloons are used instead of fans,"bolla_di_danza, danza_bolla",YES,,,,,
,bn:00013583n,n,buck-and-wing,A solo tap dance emphasizing sharp taps,"buck-e-ala, buck_wing",YES,"non ho trovato nessun esempio di 'buck-e-ala', ma è un termine molto specifico e quindi forse sbaglierei a eliminarlo da lemmata IT. Ho aggiunto anche buck_wing perchè ho trovato due esempi in italiano in cui viene usato",,,,
,bn:00013712n,n,"bugle, keyed_bugle, kent_bugle, bugle_scale, bugle_major, bugleret",A brass instrument without valves; used for military calls and fanfares,"bugle, tromba",YES,,,,tromba_con_chiave,
,bn:00013715n,n,"bugle_call, school_call, bugle_calls, call_to_quarters, trumpet_call, bugling, call_to_colors, to_the_colors",A signal broadcast by the sound of a bugle,tromba,YES,non sono sicuro delle traduzioni in multiword expression ma la traduzione già presente prima era 'tromba_chiamata' e volevo quindi tenere questo concetto ,,,"chiamata_con_tromba, chiamata_tramite_tromba",
,bn:00013824n,n,"loud_hailer, bullhorn, loud-hailer, loudhailer",A portable loudspeaker with built-in microphone and amplifier,megafono,YES,,,"bullhorn, loud-hailer",,
,bn:00013906n,n,bunny_hug,A syncopated ballroom dance formerly popular in the US,"abbraccio_del_coniglio, bunny_hug",YES,"ho aggiunto 'abbraccio_del_coniglio' e 'bunny_hug'. Ho trovato pochissime informazioni a riguardo in italiano e ho trovato tutti e tre i termini, ma sostanzialmente una volta sola ciascuno",,bunny_abbraccio,,
,bn:00013965n,n,burglar_alarm,A loud warning signal produced by a burglar alarm,allarme_antifurto ,YES,,,,,
,bn:00014177n,n,"busker, street_musician","A person who entertains people for money in public places (as by singing or dancing), usually while asking for money","suonatore_ambulante, artista_di_strada, cantimbanco, cantambanco, artisti_di_strada, musicista_di_strada, busker",YES,,,"spettacolo_di_strada, suonare_per_strada",,
,bn:00014342n,n,"buzzer, buzzers",A signaling device that makes a buzzing sound,"buzzer, cicalino, beeper",YES,,,,segnalatore_acustico,
,bn:00014378n,n,"c, b-sharp, b_sharp, b♯, eighth_octave_c, low_c, b#, do_note, soprano_c, tenor_c, baritone_c, deep_c, high_c, triple_high_c, c_in_the_eighth_octave",(music) the keynote of the scale of C major,"do, si_diesis, si♯, si#, do_centrale",YES,,,,,
